('245,122,000.00', '198,270,000.00', '261,802,000.00', '211,915,000.00', '168,088,000.00')
         771816 function calls (747944 primitive calls) in 3.879 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {method 'split' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      105    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
      120    0.000    0.000    0.001    0.000 _htmlparser.py:285(handle_comment)
      244    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      225    0.000    0.000    0.000    0.000 types.py:176(__get__)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
       22    0.000    0.000    0.000    0.000 _receivebuffer.py:104(maybe_extract_lines)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      617    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       26    0.000    0.000    0.032    0.001 <frozen importlib._bootstrap_external>:1343(_path_hooks)
     1706    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      196    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       91    0.000    0.000    0.000    0.000 enum.py:980(__or__)
        1    0.000    0.000    0.111    0.111 dammit.py:1(<module>)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
       32    0.000    0.000    0.001    0.000 typing.py:523(Optional)
       13    0.000    0.000    0.003    0.000 enum.py:483(_create_)
  138/106    0.000    0.000    0.005    0.000 typing.py:401(__getitem__)
      437    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      653    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      345    0.000    0.000    0.001    0.000 typing.py:515(<genexpr>)
      595    0.000    0.000    0.000    0.000 ssl.py:1138(_checkClosed)
      479    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      141    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    0.034    0.017 _sockets.py:1(<module>)
        2    0.000    0.000    0.152    0.076 _models.py:1(<module>)
